127.0.0.1, 2014-03-18 19:38:53, GET, /, HTTP/1.1, 303, 0.001449
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.896467
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000370
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000796
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001264
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000360
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001500
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002920
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000792
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000439
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001809
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000321
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000296
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000304
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000384
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001200
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001326
127.0.0.1, 2014-03-18 19:38:54, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000547
127.0.0.1, 2014-03-18 19:39:13, GET, /wave, HTTP/1.1, 404, 0.000431
127.0.0.1, 2014-03-18 19:39:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2014-03-18 19:39:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000237
127.0.0.1, 2014-03-18 19:39:17, GET, /wave/index, HTTP/1.1, 404, 0.000680
127.0.0.1, 2014-03-18 19:41:07, GET, /wave, HTTP/1.1, 404, 0.003510
127.0.0.1, 2014-03-18 19:41:11, GET, /wave/index, HTTP/1.1, 404, 0.001793
127.0.0.1, 2014-03-18 19:41:35, GET, /wave/recharge, HTTP/1.1, 200, 0.010028
127.0.0.1, 2014-03-18 19:41:35, GET, /wave/static/styles/wave-page.css, HTTP/1.1, 200, 0.000867
127.0.0.1, 2014-03-18 19:41:35, GET, /wave/static/scripts/jquery.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2014-03-18 19:41:35, GET, /wave/static/scripts/calendar.js, HTTP/1.1, 200, 0.000344
127.0.0.1, 2014-03-18 19:41:35, GET, /wave/static/scripts/web2py.js, HTTP/1.1, 200, 0.000643
127.0.0.1, 2014-03-18 19:41:35, GET, /wave/static/scripts/ajax_requests.js, HTTP/1.1, 200, 0.000326
127.0.0.1, 2014-03-18 19:41:35, POST, /wave/ajax/PrepaidAmounts, HTTP/1.1, 200, 0.011950
127.0.0.1, 2014-03-18 19:41:49, POST, /wave/recharge, HTTP/1.1, 200, 0.014041
127.0.0.1, 2014-03-18 19:41:49, POST, /wave/ajax/PrepaidAmounts, HTTP/1.1, 200, 0.008999
127.0.0.1, 2014-03-18 19:42:03, POST, /wave/recharge, HTTP/1.1, 200, 0.008643
127.0.0.1, 2014-03-18 19:42:03, POST, /wave/ajax/PrepaidAmounts, HTTP/1.1, 200, 0.008606
127.0.0.1, 2014-03-18 19:42:08, POST, /wave/recharge, HTTP/1.1, 200, 0.016885
127.0.0.1, 2014-03-18 19:42:08, POST, /wave/ajax/PrepaidAmounts, HTTP/1.1, 200, 0.008719
127.0.0.1, 2014-03-18 19:42:53, GET, /wave/makePLans, HTTP/1.1, 404, 0.002881
127.0.0.1, 2014-03-18 19:42:57, GET, /wave/makePlans, HTTP/1.1, 404, 0.001920
127.0.0.1, 2014-03-18 19:43:47, GET, /wave/recharge/index, HTTP/1.1, 200, 0.005015
127.0.0.1, 2014-03-18 19:43:48, POST, /wave/recharge/ajax/PrepaidAmounts, HTTP/1.1, 404, 0.002404
127.0.0.1, 2014-03-18 19:43:54, GET, /wave/recharge/index_embed, HTTP/1.1, 404, 0.003540
127.0.0.1, 2014-03-18 19:44:33, GET, /wave/recharge/index_embed_in_a_view, HTTP/1.1, 404, 0.006667
127.0.0.1, 2014-03-18 19:45:00, GET, /wave/recharge/index_embed_in_a_view, HTTP/1.1, 404, 0.004967
127.0.0.1, 2014-03-18 19:45:01, GET, /wave/recharge/index_embed_in_a_view, HTTP/1.1, 404, 0.003642
127.0.0.1, 2014-03-18 19:46:07, GET, /wave/recharge/index_embed.html, HTTP/1.1, 404, 0.002515
127.0.0.1, 2014-03-18 19:46:19, GET, /wave/recharge/, HTTP/1.1, 200, 0.018410
127.0.0.1, 2014-03-18 19:46:19, POST, /wave/recharge/ajax/PrepaidAmounts, HTTP/1.1, 404, 0.001901
127.0.0.1, 2014-03-18 19:48:41, GET, /wave/recharge/index_inline, HTTP/1.1, 404, 0.003480
127.0.0.1, 2014-03-18 19:48:58, GET, /wave/recharge/index_inline.html, HTTP/1.1, 404, 0.001546
127.0.0.1, 2014-03-18 19:59:11, GET, /, HTTP/1.1, 303, 0.000992
127.0.0.1, 2014-03-18 19:59:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.096950
127.0.0.1, 2014-03-18 19:59:11, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000369
